sequence,setting_default,baseline_mean_iou_default,scored_mean_iou_default,mean_delta_vs_sam_default,n_frames_default,best_improve_frame_default,best_improve_delta_default,worst_drop_frame_default,worst_drop_delta_default,setting_optimized,baseline_mean_iou_optimized,scored_mean_iou_optimized,mean_delta_vs_sam_optimized,n_frames_optimized,best_improve_frame_optimized,best_improve_delta_optimized,worst_drop_frame_optimized,worst_drop_delta_optimized,optimized_gain_over_default
bear,default_no_gt,0.9574213592393542,0.9562181843339606,-0.001203174905393678,82,00034,0.015432623633444553,00031,-0.05559886829468608,optimized,0.9574213592393542,0.957406509757654,-1.4849481700274225e-05,82,00034,0.015432623633444553,00081,-0.0028709673672561165,0.0011883254236934038
blackswan,default_no_gt,0.9519803555229152,0.9517312351591084,-0.00024912036380675406,50,00039,0.0027090407762843105,00021,-0.004844211891319561,optimized,0.9519803555229152,0.9503567223903527,-0.0016236331325624187,50,00039,0.0027090407762843105,00049,-0.06899488959722067,-0.0013745127687556646
bmx-bumps,default_no_gt,0.34291537759475027,0.27334642103992285,-0.06956895655482742,89,00078,0.10833546683438955,00047,-0.7577504292842976,optimized,0.34291537759475027,0.3156977307796722,-0.027217646815078045,89,00076,0.6659897045342359,00047,-0.7232232499664722,0.042351309739749377
bmx-trees,default_no_gt,0.00031185104448131884,0.06888257832470365,0.06857072728022233,80,00078,0.3451116246361807,00014,-0.005427493059671231,optimized,0.00031185104448131884,0.2463997998128992,0.24608794876841789,80,00030,0.8238319386331938,00014,-0.005427493059671231,0.17751722148819554
boat,default_no_gt,0.8144201155584574,0.7898806114306687,-0.024539504127788714,75,00001,0.0,00025,-0.0723901825962836,optimized,0.8144201155584574,0.8132489496991249,-0.0011711658593325236,75,00059,0.08947962279877786,00045,-0.10497998199798286,0.02336833826845619
breakdance,default_no_gt,0.18334414911320054,0.7194051250147159,0.5360609759015154,84,00036,0.9738486582996376,00058,-0.9695135619816184,optimized,0.18334414911320054,0.8883045390919885,0.704960389978788,84,00036,0.9738486582996376,00071,-0.01951244493890414,0.1688994140772726
breakdance-flare,default_no_gt,0.9559368516139347,0.9496047756450247,-0.006332075968910056,71,00044,0.0428945877038146,00028,-0.18086339859358347,optimized,0.9559368516139347,0.9155538121903951,-0.0403830394235396,71,00006,0.02457015196461898,00062,-0.7457643277508681,-0.034050963454629546
bus,default_no_gt,0.881698684144385,0.9100991561426062,0.028400471998221155,80,00077,0.9304397019704137,00071,-0.13282123735487816,optimized,0.881698684144385,0.9116466926287018,0.02994800848431678,80,00077,0.9304397019704137,00078,-0.9395181233660708,0.0015475364860956242
camel,default_no_gt,0.9691123919178943,0.9683794613571929,-0.0007329305607014502,90,00075,0.048130873026456356,00074,-0.03780839726280971,optimized,0.9691123919178943,0.9697676140323722,0.0006552221144778825,90,00075,0.048130873026456356,00063,-0.05716705040473957,0.0013881526751793327
car-roundabout,default_no_gt,0.7626198835283433,0.9863134927184224,0.22369360919007908,75,00058,0.9893390654854959,00010,-0.0012197147223492744,optimized,0.7626198835283433,0.9863341099679214,0.22371422643957806,75,00058,0.9893390654854959,00052,-0.0015264559082263096,2.0617249498977586e-05
car-shadow,default_no_gt,0.316668872984592,0.9749327840248746,0.6582639110402826,40,00001,0.9833506261612335,00039,-0.014490925510622032,optimized,0.316668872984592,0.9756334864202367,0.6589646134356447,40,00002,0.9848914774990044,00039,-0.014490925510622032,0.0007007023953621294
car-turn,default_no_gt,0.9813100105418723,0.9694307413150456,-0.011879269226826694,80,00040,0.003228951010847525,00024,-0.11227519292021426,optimized,0.9813100105418723,0.9752225010191868,-0.006087509522685441,80,00040,0.003228951010847525,00024,-0.11227519292021426,0.005791759704141253
cows,default_no_gt,0.9667472072459654,0.9711297664016733,0.004382559155707844,104,00013,0.018796161396790634,00101,-0.005861554126544433,optimized,0.9667472072459654,0.9712796631498948,0.004532455903929367,104,00013,0.018796161396790634,00101,-0.005861554126544433,0.000149896748221523
dance-jump,default_no_gt,0.7148207385221411,0.6734203295927242,-0.041400408929416876,60,00025,0.7805190037977471,00007,-0.9385856297728353,optimized,0.7148207385221411,0.7484911472818208,0.03367040875967964,60,00025,0.7805190037977471,00007,-0.9385856297728353,0.07507081768909651
dance-twirl,default_no_gt,0.3875035526969882,0.9180306189275017,0.5305270662305135,90,00075,0.9653837884325951,00001,-0.009655068607698492,optimized,0.3875035526969882,0.9298732803909374,0.5423697276939492,90,00075,0.9653837884325951,00001,-0.009655068607698492,0.01184266146343571
dog,default_no_gt,0.9616181422660278,0.9626568703676804,0.0010387281016526195,60,00003,0.012205908023248835,00029,-0.0035771893200680083,optimized,0.9616181422660278,0.962179290220443,0.0005611479544151976,60,00003,0.012205908023248835,00041,-0.010999640277588596,-0.0004775801472374219
dog-agility,default_no_gt,0.9039310932748579,0.8217569367798165,-0.08217415649504134,25,00020,0.008675055837621626,00021,-0.9699148492484143,optimized,0.9039310932748579,0.9018593225599054,-0.002071770714952459,25,00024,0.8906065134815369,00021,-0.9699148492484143,0.08010238578008888
