sequence,ablation,baseline_mean_iou,scored_mean_iou,mean_delta_vs_sam,n_frames,best_improve_frame,best_improve_delta,worst_drop_frame,worst_drop_delta,w_area,w_center,w_border,w_silhouette,q_border,t_area
bear,default_full,0.9574213592393542,0.9562181843339606,-0.001203174905393923,82,00034,0.015432623633444553,00031,-0.05559886829468608,0.25,0.25,0.25,0.25,0.4,0.3
bear,no_area,0.9574213592393542,0.9528970628813446,-0.00452429635800978,82,00034,0.015432623633444553,00009,-0.08358272829158964,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
bear,no_center,0.9574213592393542,0.9568106966282558,-0.000610662611098768,82,00034,0.015432623633444553,00031,-0.05559886829468608,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
bear,no_border,0.9574213592393542,0.9568106966282558,-0.000610662611098768,82,00034,0.015432623633444553,00031,-0.05559886829468608,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
bear,no_silhouette,0.9574213592393542,0.9574526678893486,3.1308649994216524e-05,82,00034,0.015432623633444553,00081,-0.0028709673672561165,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
blackswan,default_full,0.9519803555229152,0.9517312351591084,-0.0002491203638067918,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.25,0.25,0.25,0.25,0.4,0.3
blackswan,no_area,0.9519803555229152,0.9518256798223915,-0.0001546757005238253,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
blackswan,no_center,0.9519803555229152,0.9517312351591084,-0.0002491203638067918,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
blackswan,no_border,0.9519803555229152,0.9517312351591084,-0.0002491203638067918,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
blackswan,no_silhouette,0.9519803555229152,0.9517312351591084,-0.0002491203638067918,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
bmx-bumps,default_full,0.34291537759475027,0.27334642103992285,-0.06956895655482742,89,00078,0.10833546683438955,00047,-0.7577504292842976,0.25,0.25,0.25,0.25,0.4,0.3
bmx-bumps,no_area,0.34291537759475027,0.2780998520052131,-0.06481552558953718,89,00076,0.34531655338401207,00047,-0.7577504292842976,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
bmx-bumps,no_center,0.34291537759475027,0.27992495721014554,-0.06299042038460473,89,00078,0.10833546683438955,00035,-0.46409749769239517,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
bmx-bumps,no_border,0.34291537759475027,0.28442910084652945,-0.058486276748220815,89,00078,0.10833546683438955,00035,-0.46409749769239517,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
bmx-bumps,no_silhouette,0.34291537759475027,0.28316645606252544,-0.059748921532224886,89,00042,0.5202884172992869,00047,-0.7577504292842976,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
bmx-trees,default_full,0.00031185104448131884,0.06888257832470365,0.06857072728022233,80,00078,0.3451116246361807,00014,-0.005427493059671231,0.25,0.25,0.25,0.25,0.4,0.3
bmx-trees,no_area,0.00031185104448131884,0.2153922917609925,0.21508044071651117,80,00032,0.7020391461501739,00012,-0.000509179372577862,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
bmx-trees,no_center,0.00031185104448131884,0.029400630447274055,0.029088779402792735,80,00079,0.33868092691622104,00018,-0.009447487409476896,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
bmx-trees,no_border,0.00031185104448131884,0.01071848379555696,0.010406632751075642,80,00008,0.29984536339601936,00014,-0.005427493059671231,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
bmx-trees,no_silhouette,0.00031185104448131884,0.06093753212055016,0.060625681076068846,80,00053,0.34593739008090046,00018,-0.009398224627016416,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
