sequence,n_total_frames_with_gt,n_used_for_opt,gt_ratio,opt_baseline_w_area,opt_baseline_w_center,opt_baseline_w_border,opt_baseline_w_silhouette,opt_baseline_q_border,opt_baseline_t_area,opt_baseline_train_meanIoU,opt_baseline_val_meanIoU,optimized_w_area,optimized_w_center,optimized_w_border,optimized_w_silhouette,optimized_q_border,optimized_t_area,optimized_train_meanIoU,optimized_val_meanIoU
bear,82,17,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.9689029638269278,0.9646337731938035,0.3679710001537618,0.16102593075818372,0.46746546236364844,0.0035376067244062303,0.35871232043841234,0.27413686570940254,0.9687435103535424,0.965002320916793
blackswan,50,10,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.9537025429677288,0.9421531692101125,0.01125288346051093,0.07528234010069014,0.6941937558274217,0.2192710206113773,0.48725182294812425,0.8505390509132107,0.953815044157073,0.9431349748836686
bmx-bumps,89,18,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.3307534739704,0.106410674293954,0.0111828601922377,0.19452373384173977,0.7710167936867579,0.023276612279264593,0.7863331471779178,0.6755826825988613,0.3478733089417842,0.15274967344513024
bmx-trees,80,16,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.02787140936239767,0.07220950777311075,0.029748577426812545,0.015338465209943466,0.9158167110615808,0.039096246301663314,0.541307171106847,0.3295739333291898,0.26778989157687944,0.2552421428460318
boat,75,15,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.7886905516895458,0.7897497486274112,0.5977511247863871,0.06620706222668786,0.3099986354024446,0.026043177584480357,0.8455330324581892,0.05058484076834874,0.8097623271603046,0.8393543312497812
breakdance,84,17,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.6585834558209063,0.8478569836795797,0.5184110305420729,0.17940241000479504,0.2557989474632792,0.04638761198985278,0.06739267474212308,0.09473821443112626,0.867264413494506,0.9554328756228108
breakdance-flare,71,15,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.9468486987848937,0.9502746378233168,0.1336467907558019,0.8479899698384391,0.016474431645671823,0.001888807760087173,0.7819432152794319,0.8714800195490368,0.9246776508514575,0.9507702271319994
bus,80,16,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.9022194781239202,0.9332356730891804,0.02242856179729603,0.019736896296232334,0.41581986323902986,0.5420146786674418,0.08876019971134069,0.7904356521625291,0.9237368850339233,0.9342699824338541
camel,90,18,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.967962060939059,0.9686539810851306,0.24427944252550338,0.5082276234687577,0.23129865040267159,0.016194283603067273,0.23364162309888653,0.5825879172338089,0.971516916850052,0.970756832684718
car-roundabout,75,15,0.2,0.25,0.25,0.25,0.25,0.4,0.3,0.9865787950702702,0.9858041960949061,0.3949401331550736,0.5922350061863237,0.011505719966769764,0.0013191406918328583,0.7819432152794319,0.8714800195490368,0.9865787950702702,0.9858041960949061
