Sequence,Default(No GT),Optimized(Partial GT),Gain
parkour,0.0771679530704411,0.6295706092460016,0.5524026561755605
drift-straight,0.24103903014972514,0.6828598549002056,0.44182082475048046
lucia,0.5076605405009348,0.871400364028041,0.3637398235271062
hike,0.767834659723374,0.9601258957555003,0.1922912360321264
drift-turn,0.48901936438844684,0.6706402739130572,0.1816209095246104
bmx-trees,0.06888257832470365,0.2463997998128992,0.17751722148819554
motocross-bumps,0.43088011873949594,0.6011170557461056,0.1702369370066097
breakdance,0.7194051250147159,0.8883045390919885,0.1688994140772726
kite-walk,0.33078458758577695,0.4482559649480253,0.11747137736224833
dog-agility,0.8217569367798165,0.9018593225599054,0.08010238578008888
dance-jump,0.6734203295927242,0.7484911472818208,0.07507081768909651
paragliding-launch,0.49026974765488196,0.5333873771549987,0.04311762950011677
flamingo,0.911230620455887,0.9540707448732333,0.042840124417346304
bmx-bumps,0.27334642103992285,0.3156977307796722,0.042351309739749377
drift-chicane,0.8692124946958815,0.9006388426932077,0.03142634799732624
boat,0.7898806114306687,0.8132489496991249,0.02336833826845619
kite-surf,0.2597670555914036,0.2830515966232045,0.023284541031800887
horsejump-high,0.7153183733627638,0.7383951009763582,0.02307672761359436
paragliding,0.8692470685882459,0.8853856618018363,0.016138593213590458
dance-twirl,0.9180306189275017,0.9298732803909374,0.01184266146343571
car-turn,0.9694307413150456,0.9752225010191868,0.005791759704141253
hockey,0.11803197117116189,0.12201096695830091,0.00397899578713902
mallard-fly,0.871859457584743,0.8749377512100632,0.0030782936253201942
bus,0.9100991561426062,0.9116466926287018,0.0015475364860956242
camel,0.9683794613571929,0.9697676140323722,0.0013881526751793327
bear,0.9562181843339606,0.957406509757654,0.0011883254236934038
car-shadow,0.9749327840248746,0.9756334864202367,0.0007007023953621294
mallard-water,0.946624280037296,0.9470401716745673,0.00041589163727129286
rhino,0.9761331889145546,0.9764063718132959,0.00027318289874134205
cows,0.9711297664016733,0.9712796631498948,0.000149896748221523
car-roundabout,0.9863134927184224,0.9863341099679214,2.0617249498977586e-05
dog,0.9626568703676804,0.962179290220443,-0.0004775801472374219
blackswan,0.9517312351591084,0.9503567223903527,-0.0013745127687556646
horsejump-low,0.7307337308432047,0.7290106130136306,-0.0017231178295741278
goat,0.9258632397081358,0.9158239312288775,-0.010039308479258269
elephant,0.9634170844313719,0.9381951973035989,-0.025221887127772957
breakdance-flare,0.9496047756450247,0.9155538121903951,-0.034050963454629546
motocross-jump,0.7670230696353492,0.6914667214660085,-0.07555634816934065
motorbike,0.7894007196609032,0.6548944110820386,-0.1345063085788646
libby,0.8873137550285317,0.6948008718055143,-0.1925128832230174
