Sequence,SAM,Default(No GT),Gain
mallard-water,1.5103043264647873e-06,0.946624280037296,0.9466227697329695
flamingo,0.04794744714123153,0.911230620455887,0.8632831733146554
car-shadow,0.316668872984592,0.9749327840248746,0.6582639110402826
breakdance,0.18334414911320054,0.7194051250147159,0.5360609759015154
dance-twirl,0.3875035526969882,0.9180306189275017,0.5305270662305135
lucia,0.1585896791718402,0.5076605405009348,0.3490708613290946
drift-chicane,0.5583224393560866,0.8692124946958815,0.31089005533979486
car-roundabout,0.7626198835283433,0.9863134927184224,0.22369360919007908
motorbike,0.648895389805103,0.7894007196609032,0.14050532985580022
drift-turn,0.36528443080719775,0.48901936438844684,0.1237349335812491
motocross-bumps,0.319962235745409,0.43088011873949594,0.11091788299408695
horsejump-high,0.61485611115469,0.7153183733627638,0.10046226220807386
bmx-trees,0.00031185104448131884,0.06888257832470365,0.06857072728022233
hockey,0.06340712066595744,0.11803197117116189,0.05462485050520445
libby,0.838808586022113,0.8873137550285317,0.04850516900641877
bus,0.881698684144385,0.9100991561426062,0.028400471998221155
horsejump-low,0.7110029417267086,0.7307337308432047,0.01973078911649606
motocross-jump,0.7585540734423437,0.7670230696353492,0.008468996193005451
cows,0.9667472072459654,0.9711297664016733,0.004382559155707844
goat,0.9217250088145996,0.9258632397081358,0.0041382308935361545
dog,0.9616181422660278,0.9626568703676804,0.0010387281016526195
blackswan,0.9519803555229152,0.9517312351591084,-0.00024912036380675406
camel,0.9691123919178943,0.9683794613571929,-0.0007329305607014502
bear,0.9574213592393542,0.9562181843339606,-0.001203174905393678
elephant,0.9647892339167464,0.9634170844313719,-0.001372149485374563
mallard-fly,0.8742370588384356,0.871859457584743,-0.002377601253692574
rhino,0.9800650118225802,0.9761331889145546,-0.003931822908025628
breakdance-flare,0.9559368516139347,0.9496047756450247,-0.006332075968910056
car-turn,0.9813100105418723,0.9694307413150456,-0.011879269226826694
paragliding,0.8848369650107984,0.8692470685882459,-0.015589896422552596
boat,0.8144201155584574,0.7898806114306687,-0.024539504127788714
dance-jump,0.7148207385221411,0.6734203295927242,-0.041400408929416876
kite-walk,0.387476155969621,0.33078458758577695,-0.05669156838384404
paragliding-launch,0.5521277065020153,0.49026974765488196,-0.0618579588471333
bmx-bumps,0.34291537759475027,0.27334642103992285,-0.06956895655482742
dog-agility,0.9039310932748579,0.8217569367798165,-0.08217415649504134
kite-surf,0.35101505684722817,0.2597670555914036,-0.09124800125582455
hike,0.8968661560700536,0.767834659723374,-0.12903149634667965
parkour,0.35651202308055985,0.0771679530704411,-0.27934407001011874
drift-straight,0.5257067553920508,0.24103903014972514,-0.28466772524232564
