Sequence,Default(No GT),Optimized(Partial GT),Gain
breakdance,0.4522732773438686,0.8883045390919885,0.4360312617481199
lucia,0.4907659033771202,0.871400364028041,0.38063446065092077
parkour,0.39003162932542834,0.6295706092460016,0.23953897992057327
kite-walk,0.28089800947517995,0.4482559649480253,0.16735795547284532
flamingo,0.8423408872693383,0.9540707448732333,0.11172985760389498
dog-agility,0.8145835589336656,0.9018593225599054,0.08727576362623979
dance-jump,0.6880181706453548,0.7484911472818208,0.060472976636466
paragliding-launch,0.47435090424496734,0.5333873771549987,0.05903647291003139
motocross-bumps,0.5430819387644774,0.6011170557461056,0.05803511698162822
car-roundabout,0.9469667064549955,0.9863341099679214,0.03936740351292589
bmx-bumps,0.27803875543363904,0.3156977307796722,0.037658975346033186
horsejump-high,0.7046281678953135,0.7383951009763582,0.033766933081044725
bmx-trees,0.2135399784301697,0.2463997998128992,0.0328598213827295
drift-straight,0.6515237000715637,0.6828598549002056,0.03133615482864194
dance-twirl,0.9004499450468534,0.9298732803909374,0.029423335344084034
paragliding,0.858481652854783,0.8853856618018363,0.02690400894705336
car-shadow,0.9508658118066122,0.9756334864202367,0.024767674613624502
boat,0.7898806114306687,0.8132489496991249,0.02336833826845619
kite-surf,0.26039958790930745,0.2830515966232045,0.022652008713897054
car-turn,0.9638745356003607,0.9752225010191868,0.0113479654188261
mallard-fly,0.8649038409501949,0.8749377512100632,0.010033910259868328
mallard-water,0.9396183285279927,0.9470401716745673,0.00742184314657468
camel,0.9647414356290187,0.9697676140323722,0.0050261784033535095
hockey,0.11709850701152213,0.12201096695830091,0.004912459946778774
bear,0.953824024344927,0.957406509757654,0.003582485412726988
cows,0.9709278769186322,0.9712796631498948,0.0003517862312625297
rhino,0.9762102564232921,0.9764063718132959,0.00019611539000385925
hike,0.9602326346063512,0.9601258957555003,-0.00010673885085088486
dog,0.9626370635212551,0.962179290220443,-0.0004577733008120921
blackswan,0.9518525288236974,0.9503567223903527,-0.0014958064333446819
drift-chicane,0.9031905090997524,0.9006388426932077,-0.002551666406544695
horsejump-low,0.731760234998499,0.7290106130136306,-0.002749621984868389
bus,0.9210952955720743,0.9116466926287018,-0.009448602943372464
goat,0.9257217284048286,0.9158239312288775,-0.009897797175951073
elephant,0.9634275480398585,0.9381951973035989,-0.025232350736259623
breakdance-flare,0.9465271179002003,0.9155538121903951,-0.030973305709805166
motocross-jump,0.7317751981521374,0.6914667214660085,-0.04030847668612891
drift-turn,0.7979792667453774,0.6706402739130572,-0.1273389928323202
motorbike,0.7894007196609032,0.6548944110820386,-0.1345063085788646
libby,0.8688574804131994,0.6948008718055143,-0.17405660860768513
