Sequence,SAM,Default(No GT),Gain
mallard-water,1.5103043264647873e-06,0.9396183285279927,0.9396168182236662
flamingo,0.04794744714123153,0.8423408872693383,0.7943934401281068
car-shadow,0.316668872984592,0.9508658118066122,0.6341969388220202
dance-twirl,0.3875035526969882,0.9004499450468534,0.5129463923498652
drift-turn,0.36528443080719775,0.7979792667453774,0.4326948359381797
drift-chicane,0.5583224393560866,0.9031905090997524,0.3448680697436658
lucia,0.1585896791718402,0.4907659033771202,0.33217622420528004
breakdance,0.18334414911320054,0.4522732773438686,0.26892912823066806
motocross-bumps,0.319962235745409,0.5430819387644774,0.22311970301906842
bmx-trees,0.00031185104448131884,0.2135399784301697,0.2132281273856884
car-roundabout,0.7626198835283433,0.9469667064549955,0.18434682292665217
motorbike,0.648895389805103,0.7894007196609032,0.14050532985580022
drift-straight,0.5257067553920508,0.6515237000715637,0.12581694467951288
horsejump-high,0.61485611115469,0.7046281678953135,0.0897720567406235
hike,0.8968661560700536,0.9602326346063512,0.06336647853629762
hockey,0.06340712066595744,0.11709850701152213,0.053691386345564696
bus,0.881698684144385,0.9210952955720743,0.03939661142768924
parkour,0.35651202308055985,0.39003162932542834,0.033519606244868494
libby,0.838808586022113,0.8688574804131994,0.03004889439108649
horsejump-low,0.7110029417267086,0.731760234998499,0.020757293271790322
cows,0.9667472072459654,0.9709278769186322,0.004180669672666837
goat,0.9217250088145996,0.9257217284048286,0.003996719590228959
dog,0.9616181422660278,0.9626370635212551,0.0010189212552272897
blackswan,0.9519803555229152,0.9518525288236974,-0.00012782669921773682
elephant,0.9647892339167464,0.9634275480398585,-0.001361685876887897
bear,0.9574213592393542,0.953824024344927,-0.003597334894427262
rhino,0.9800650118225802,0.9762102564232921,-0.0038547553992881456
camel,0.9691123919178943,0.9647414356290187,-0.004370956288875627
mallard-fly,0.8742370588384356,0.8649038409501949,-0.009333217888240708
breakdance-flare,0.9559368516139347,0.9465271179002003,-0.009409733713734436
car-turn,0.9813100105418723,0.9638745356003607,-0.017435474941511542
boat,0.8144201155584574,0.7898806114306687,-0.024539504127788714
paragliding,0.8848369650107984,0.858481652854783,-0.026355312156015498
motocross-jump,0.7585540734423437,0.7317751981521374,-0.026778875290206283
dance-jump,0.7148207385221411,0.6880181706453548,-0.026802567876786365
bmx-bumps,0.34291537759475027,0.27803875543363904,-0.06487662216111123
paragliding-launch,0.5521277065020153,0.47435090424496734,-0.07777680225704792
dog-agility,0.9039310932748579,0.8145835589336656,-0.08934753434119225
kite-surf,0.35101505684722817,0.26039958790930745,-0.09061546893792072
kite-walk,0.387476155969621,0.28089800947517995,-0.10657814649444103
