sequence,n_result_json,n_gt_json,n_masks_png
bear,82,82,246
blackswan,50,50,150
bmx-bumps,90,90,300
bmx-trees,80,80,1602
boat,75,75,228
breakdance,84,84,1239
breakdance-flare,71,71,213
bus,80,80,288
camel,90,90,543
car-roundabout,75,75,1137
car-shadow,40,40,561
car-turn,80,80,279
cows,104,104,315
dance-jump,60,60,717
dance-twirl,90,90,513
dog,60,60,180
dog-agility,25,25,90
drift-chicane,52,52,375
drift-straight,50,50,486
drift-turn,64,64,399
elephant,80,80,258
flamingo,80,80,1875
goat,90,90,279
hike,80,80,495
hockey,75,75,258
horsejump-high,50,50,246
horsejump-low,60,60,186
kite-surf,50,50,327
kite-walk,80,80,624
libby,49,49,234
lucia,70,70,552
mallard-fly,70,70,276
mallard-water,80,80,480
motocross-bumps,60,60,480
motocross-jump,40,40,168
motorbike,43,43,144
paragliding,70,70,339
paragliding-launch,80,80,978
parkour,100,100,1161
rhino,90,90,327
rollerblade,0,0,0
scooter-black,0,0,0
scooter-gray,0,0,0
soapbox,0,0,0
soccerball,0,0,0
stroller,0,0,0
surf,0,0,0
swing,0,0,0
tennis,0,0,0
train,0,0,0
