sequence,mean_delta,improved_ratio,worsened_ratio
mallard-water,0.939616818223666,1.0,0.0
flamingo,0.7943934401281069,0.9125,0.0375
car-shadow,0.6341969388220204,0.675,0.3
dance-twirl,0.512946392349865,0.7666666666666667,0.044444444444444446
drift-turn,0.43269483593817976,0.53125,0.21875
drift-chicane,0.3448680697436659,0.5576923076923077,0.38461538461538464
lucia,0.3321762242052799,0.8428571428571429,0.014285714285714285
breakdance,0.26892912823066795,0.5238095238095238,0.11904761904761904
motocross-bumps,0.2231197030190684,0.43333333333333335,0.23333333333333334
bmx-trees,0.21322812738568836,0.7625,0.0375
car-roundabout,0.18434682292665222,0.68,0.12
motorbike,0.14050532985580008,0.9534883720930233,0.023255813953488372
drift-straight,0.1258169446795128,0.5,0.36
horsejump-high,0.08977205674062358,0.9,0.08
hike,0.06336647853629744,0.675,0.0375
hockey,0.05369138634556464,0.6533333333333333,0.16
bus,0.039396611427689264,0.25,0.225
parkour,0.033519606244868536,0.27,0.27
libby,0.03004889439108642,0.2857142857142857,0.40816326530612246
horsejump-low,0.02075729327179012,0.8166666666666667,0.05
cows,0.00418066967266674,0.5576923076923077,0.10576923076923077
goat,0.00399671959022884,0.6777777777777778,0.17777777777777778
dog,0.0010189212552272366,0.36666666666666664,0.21666666666666667
blackswan,-0.00012782669921780168,0.5,0.44
elephant,-0.0013616858768879334,0.3125,0.675
bear,-0.0035973348944275565,0.3170731707317073,0.4024390243902439
rhino,-0.0038547553992879222,0.06666666666666667,0.8444444444444444
camel,-0.004370956288875487,0.044444444444444446,0.6777777777777778
mallard-fly,-0.009333217888240661,0.1,0.6714285714285714
breakdance-flare,-0.009409733713734318,0.352112676056338,0.38028169014084506
car-turn,-0.017435474941511334,0.125,0.575
boat,-0.024539504127788526,0.0,0.5333333333333333
paragliding,-0.02635531215601535,0.014285714285714285,0.6142857142857143
motocross-jump,-0.026778875290206266,0.25,0.55
dance-jump,-0.026802567876786632,0.6166666666666667,0.3
bmx-bumps,-0.0648766221611112,0.0449438202247191,0.7078651685393258
paragliding-launch,-0.07777680225704782,0.35,0.5125
dog-agility,-0.08934753434119212,0.52,0.36
kite-surf,-0.09061546893792066,0.48,0.38
kite-walk,-0.10657814649444106,0.55,0.425
