frame,mode,baseline_best_idx,scored_best_idx,baseline_iou,scored_iou,delta,sam_best_mask_png,score_best_mask_png,sequence
0,default_no_gt,2,1,0.96499407190081,0.9646487938882315,-0.0003452780125782,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00000_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00000_best.png,bear
1,default_no_gt,2,0,0.9661731900223078,0.9355961349492302,-0.0305770550730776,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00001_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00001_best.png,bear
2,default_no_gt,2,1,0.9668251301176182,0.9648638704930096,-0.0019612596246085,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00002_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00002_best.png,bear
3,default_no_gt,2,0,0.9663634484184412,0.9228454401069964,-0.0435180083114445,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00003_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00003_best.png,bear
4,default_no_gt,2,0,0.9673831070889894,0.920961326901921,-0.0464217801870684,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00004_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00004_best.png,bear
5,default_no_gt,2,0,0.967475216199114,0.9082521892911172,-0.0592230269079969,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00005_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00005_best.png,bear
6,default_no_gt,2,0,0.9640366033147756,0.8972431617488693,-0.0667934415659063,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00006_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00006_best.png,bear
7,default_no_gt,2,1,0.9644047030501044,0.9627046629900646,-0.0017000400600396,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00007_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00007_best.png,bear
8,default_no_gt,2,1,0.96844414807804,0.9664047741713894,-0.0020393739066505,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00008_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00008_best.png,bear
9,default_no_gt,2,1,0.9716171194259354,0.9691314629002364,-0.0024856565256989,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_sam\00009_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\bear\selected_by_score_default_no_gt\00009_best.png,bear
