sequence,default_full,no_area,no_border,no_center,no_silhouette
bear,0.9568803666208519,0.9524824674159034,0.9568106966282558,0.9567948439359434,0.9573831418067713
blackswan,0.9517312351591084,0.9518918010506396,0.9517312351591084,0.9517312351591084,0.9517312351591084
bmx-bumps,0.2772263823139005,0.27804491292466665,0.28442910084652945,0.27992495721014554,0.28793243642707766
bmx-trees,0.08835559741940557,0.22269586079493062,0.010941958131139417,0.03359044618979619,0.10292989421154472
boat,0.7898806114306687,0.7908879595445821,0.7898806114306687,0.7898806114306687,0.7901135985801949
breakdance,0.7875969046778826,0.40329730360298044,0.9382844509819854,0.49701289569242285,0.6767579912606653
breakdance-flare,0.9495266079490908,0.9364260760456703,0.9566156044647909,0.9516904351037597,0.9579305952079942
bus,0.9100179860867726,0.9232321681396419,0.9098474995880135,0.919756234183455,0.9081026305603794
camel,0.9693583080686842,0.7938419187737449,0.9691706266263572,0.9664170493671177,0.9699757569676564
car-roundabout,0.9863643085201704,0.6850294979354523,0.986383017199649,0.9863331475109408,0.9863461521576213
car-shadow,0.9749327840248746,0.8050304480705949,0.563274323900307,0.9749327840248746,0.9752905122779243
car-turn,0.9708021158885586,0.9410144452401834,0.9769044268926173,0.9746062477765995,0.9777205865180468
cows,0.9711297664016733,0.9624046094396754,0.9711297664016733,0.9709278769186322,0.9712796631498948
dance-jump,0.6405913290030166,0.7143689297645209,0.6035668265328487,0.604972628924821,0.39853139618625366
dance-twirl,0.9095959638253277,0.8810485584265287,0.9256225668199473,0.7983892535327803,0.9270669640990697
dog,0.9626568703676804,0.9626697385942465,0.9626568703676804,0.9626568703676804,0.9626370635212551
dog-agility,0.8217569367798165,0.8100579263765656,0.9413635893550341,0.9411248397461753,0.8523609174141398
drift-chicane,0.8866712859046726,0.9036703840971364,0.7096628379860679,0.903072766380483,0.8785012571723526
drift-straight,0.3140564507315065,0.5737403399316515,0.3198630101870323,0.5639530757096897,0.19090234528860184
drift-turn,0.7118006895452199,0.5906968697320142,0.561829457772956,0.7717810081755867,0.5870198553953816
elephant,0.9634170844313719,0.9423395390818413,0.9634170844313719,0.9634170844313719,0.9634170844313719
flamingo,0.9350624964056141,0.6720903939633048,0.4533137242400537,0.6483027907551749,0.9515575968302586
goat,0.9258497214023866,0.92334076813521,0.9258632397081358,0.9258632397081358,0.92598564116766
hike,0.960277800425915,0.9601215900593687,0.03592083762113605,0.960277800425915,0.5164718043275307
hockey,0.11725739741423008,0.11662649119553022,0.11601842776683377,0.11513855833579645,0.12196575726439152
horsejump-high,0.7153183733627638,0.6010372870960299,0.6925535127037048,0.7364728172300821,0.7383951009763582
horsejump-low,0.7320980411031267,0.7161294820176884,0.7314161511860926,0.7315425469064515,0.73207512476743
kite-surf,0.26039991521309774,0.25976587910333937,0.26000789271791314,0.23295755910383842,0.26257799652877895
kite-walk,0.32170132169204124,0.2794380579889622,0.4308188724151648,0.3385116666207547,0.2892219306535303
libby,0.8872509927494454,0.8688574804131994,0.8870341124106534,0.790301902625097,0.8837098269594975
lucia,0.49975259413093565,0.503387415741613,0.6477821012333344,0.3989253524328,0.6052914035690578
mallard-fly,0.8776822418358808,0.8339345711446584,0.8695029059857244,0.8548666720837972,0.8571216725020481
mallard-water,0.9464704169583211,0.9383704115086546,0.8991802960951107,0.9464704169583211,0.946636512489297
motocross-bumps,0.41640264978048475,0.562243276988508,0.42519555804339926,0.4240580153231704,0.3956805222146486
motocross-jump,0.7235690161246389,0.6964203318031326,0.7235811646582174,0.7108796835770853,0.6086503146791328
motorbike,0.7894007196609032,0.7872157481130199,0.7894007196609032,0.7894007196609032,0.795908262087645
paragliding,0.8690408970906045,0.8600577805443409,0.8798626390334031,0.8798891868971944,0.8618067793759797
paragliding-launch,0.49036154343647487,0.4699095569659808,0.5009664609924085,0.4793523228488713,0.5320195962746807
parkour,0.09624465608465421,0.5936631418957268,0.00012570712795731287,0.00015212108468664337,0.11295550947722983
rhino,0.9760766228553511,0.9762775757491807,0.9762144894870525,0.9762854653349312,0.9779166088477669
