sequence,ablation,baseline_mean_iou,scored_mean_iou,mean_delta_vs_sam,n_frames,best_improve_frame,best_improve_delta,worst_drop_frame,worst_drop_delta,w_area,w_center,w_border,w_silhouette,q_border,t_area
bear,default_full,0.9574213592393542,0.9568803666208519,-0.000540992618502664,82,00034,0.015432623633444553,00078,-0.049690299377866065,0.25,0.25,0.25,0.25,0.3,0.25
bear,no_area,0.9574213592393542,0.9524824674159034,-0.004938891823451143,82,00034,0.015432623633444553,00009,-0.08358272829158964,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
bear,no_center,0.9574213592393542,0.9567948439359434,-0.0006265153034109978,82,00034,0.015432623633444553,00031,-0.05559886829468608,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
bear,no_border,0.9574213592393542,0.9568106966282558,-0.000610662611098768,82,00034,0.015432623633444553,00031,-0.05559886829468608,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
bear,no_silhouette,0.9574213592393542,0.9573831418067713,-3.8217432583197185e-05,82,00034,0.015432623633444553,00081,-0.0028709673672561165,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
blackswan,default_full,0.9519803555229152,0.9517312351591084,-0.0002491203638067918,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.25,0.25,0.25,0.25,0.3,0.25
blackswan,no_area,0.9519803555229152,0.9518918010506396,-8.855447227555935e-05,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
blackswan,no_center,0.9519803555229152,0.9517312351591084,-0.0002491203638067918,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
blackswan,no_border,0.9519803555229152,0.9517312351591084,-0.0002491203638067918,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
blackswan,no_silhouette,0.9519803555229152,0.9517312351591084,-0.0002491203638067918,50,00039,0.0027090407762843105,00021,-0.004844211891319561,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
bmx-bumps,default_full,0.34291537759475027,0.2772263823139005,-0.06568899528084976,89,00076,0.34531655338401207,00047,-0.7577504292842976,0.25,0.25,0.25,0.25,0.3,0.25
bmx-bumps,no_area,0.34291537759475027,0.27804491292466665,-0.06487046467008359,89,00076,0.34531655338401207,00047,-0.7577504292842976,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
bmx-bumps,no_center,0.34291537759475027,0.27992495721014554,-0.06299042038460473,89,00078,0.10833546683438955,00035,-0.46409749769239517,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
bmx-bumps,no_border,0.34291537759475027,0.28442910084652945,-0.058486276748220815,89,00078,0.10833546683438955,00035,-0.46409749769239517,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
bmx-bumps,no_silhouette,0.34291537759475027,0.28793243642707766,-0.05498294116767261,89,00042,0.5202884172992869,00047,-0.7577504292842976,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
bmx-trees,default_full,0.00031185104448131884,0.08835559741940557,0.08804374637492425,80,00023,0.5982911643926347,00072,-0.003194366704741623,0.25,0.25,0.25,0.25,0.3,0.25
bmx-trees,no_area,0.00031185104448131884,0.22269586079493062,0.22238400975044934,80,00032,0.7020391461501739,00018,-0.0016919601493773475,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
bmx-trees,no_center,0.00031185104448131884,0.03359044618979619,0.033278595145314865,80,00053,0.34593739008090046,00018,-0.009447487409476896,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
bmx-trees,no_border,0.00031185104448131884,0.010941958131139417,0.0106301070866581,80,00008,0.29984536339601936,00072,-0.003194366704741623,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
bmx-trees,no_silhouette,0.00031185104448131884,0.10292989421154472,0.10261804316706342,80,00023,0.5982911643926347,00014,-0.005427493059671231,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
boat,default_full,0.8144201155584574,0.7898806114306687,-0.02453950412778855,75,00001,0.0,00025,-0.0723901825962836,0.25,0.25,0.25,0.25,0.3,0.25
boat,no_area,0.8144201155584574,0.7908879595445821,-0.023532156013875212,75,00005,0.055925299156209585,00025,-0.0723901825962836,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
boat,no_center,0.8144201155584574,0.7898806114306687,-0.02453950412778855,75,00001,0.0,00025,-0.0723901825962836,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
boat,no_border,0.8144201155584574,0.7898806114306687,-0.02453950412778855,75,00001,0.0,00025,-0.0723901825962836,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
boat,no_silhouette,0.8144201155584574,0.7901135985801949,-0.02430651697826233,75,00001,0.0,00025,-0.0723901825962836,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
breakdance,default_full,0.18334414911320054,0.7875969046778826,0.604252755564682,84,00036,0.9738486582996376,00058,-0.9695135619816184,0.25,0.25,0.25,0.25,0.3,0.25
