image_id,class_ids,class_names,prompt,num_candidates,gt_area,gt_area_ratio,gt_score,sam_best_box_idx,sam_best_mask_idx,sam_best_gt_iou,sam_best_our_score,sam_best_sam_conf,sam_best_dino_logit,ours_best_box_idx,ours_best_mask_idx,ours_best_gt_iou,ours_best_our_score,ours_best_sam_conf,ours_best_dino_logit
2010_002200,7,car,car .,12,525,0.0028,0,3,2,0.178082192,0,0.920284212,0.513460517,0,0,0.319073084,0,0.834586561,0.538258851
2010_002988,7,car,car .,12,34110,0.18192,0.635673129,0,2,0.590024296,0.649220095,0.980585992,0.717397392,0,1,0.588823949,0.652087386,0.975342631,0.717397392
2010_000628,7,car,car .,3,9128,0.048682667,0,0,2,0.974536786,0,0.973635972,0.94265908,0,0,0.85386882,0,0.944726229,0.94265908
2009_004748,7,car,car .,12,57152,0.343255255,0.804863782,0,2,0.974363398,0.808984238,0.987392247,0.790784419,0,1,0.972780454,0.817812664,0.985800147,0.790784419
2010_003768,7,car,car .,15,5087,0.034488136,0,0,2,0.094962362,0,0.962990046,0.547500849,0,0,0.05746457,0,0.942139983,0.547500849
2008_002958,7,car,car .,6,91604,0.488554667,0.647912579,0,1,0.824685171,0.826591677,0.99299252,0.757634223,0,1,0.824685171,0.826591677,0.99299252,0.757634223
2010_006070,7,car,car .,3,14842,0.079157333,0,0,2,0.953577958,0,0.982340574,0.751391649,0,0,0.77336155,0,0.943163693,0.751391649
2009_002238,7,car,car .,3,5367,0.026244499,0,0,1,0.760642919,0,0.923246145,0.718459904,0,0,0.794401392,0,0.884099662,0.718459904
2010_004337,7,car,car .,12,725,0.003856383,0,0,2,0.321232123,0,0.951103389,0.619633019,0,0,0.274725275,0,0.93065691,0.619633019
2009_000457,7,car,car .,3,8581,0.051537538,0,0,2,0.775036896,0,0.939520359,0.812699199,0,0,0.729709283,0,0.907286346,0.812699199
2010_001966,7,car,car .,12,1062,0.006145833,0,0,2,0.771201413,0,0.953181505,0.776826441,0,0,0.630920465,0,0.925020039,0.776826441
2007_009392,7,car,car .,45,3389,0.020477341,0,3,2,0.700219419,0,0.952370822,0.55302453,0,0,0.030994646,0,0.891889334,0.67986697
2011_000239,7,car,car .,15,867,0.004624,0,1,2,0.422574627,0,0.947396994,0.478165418,0,0,0.232602479,0,0.849147379,0.448588908
2007_000663,7,car,car .,15,6938,0.032881517,0,2,2,0.000452829,0.810325856,0.988198221,0.392985404,2,1,0.0009932,0.813075173,0.986141503,0.392985404
2010_003813,7,car,car .,3,58593,0.312496,0.758814909,0,2,0.966215989,0.756629117,0.990528226,0.748952746,0,1,0.969060736,0.760315153,0.989719748,0.748952746
2009_003406,7,car,car .,3,44207,0.310224561,0.753290349,0,1,0.960390231,0.775740311,0.991201997,0.923815846,0,1,0.960390231,0.775740311,0.991201997,0.923815846
2011_003019,7,car,car .,3,6846,0.036512,0,0,2,0.575653096,0,0.926541746,0.641239285,0,0,0.278291815,0,0.869695127,0.641239285
2009_003589,7,car,car .,3,62496,0.333312,0.825446774,0,2,0.95293217,0.855207194,0.985579133,0.826943398,0,1,0.951625973,0.860950992,0.981158197,0.826943398
2010_003381,7,car,car .,3,102191,0.597608187,0.812487502,0,1,0.852478839,0.810659094,0.991219699,0.905139744,0,2,0.82939091,0.821688472,0.987604737,0.905139744
2008_003141,7,car,car .,6,14843,0.079162667,0,1,2,0,0,0.98134172,0.512044251,0,0,0.952221346,0,0.953494251,0.69165045
2007_006035,7,car,car .,21,4699,0.03344484,0,1,2,0.285300207,0,0.938666999,0.614135802,0,0,0.171632396,0,0.894776762,0.704202831
2010_000372,7,car,car .,12,49719,0.355216907,0.684290852,0,2,0.886110561,0.738062615,0.98429215,0.742253125,0,1,0.886780882,0.739377657,0.979840219,0.742253125
2007_003143,7,car,car .,3,55571,0.380623288,0.829252313,0,2,0.96567085,0.913649193,0.985911787,0.873190522,0,1,0.963909721,0.919963693,0.984147787,0.873190522
2009_003549,7,car,car .,3,56092,0.395014085,0.923003815,0,2,0.970513886,0.955210351,0.986815095,0.845229685,0,2,0.970513886,0.955210351,0.986815095,0.845229685
2009_004594,7,car,car .,3,64146,0.385261261,0.928508028,0,1,0.981580156,0.96137149,0.988676906,0.874597371,0,1,0.981580156,0.96137149,0.988676906,0.874597371
2010_002361,7,car,car .,15,98184,0.540958678,0.766530006,0,2,0.845132222,0.843815874,0.97589457,0.680284381,0,2,0.845132222,0.843815874,0.97589457,0.680284381
2007_000529,7,car,car .,15,392,0.002090667,0,1,2,0.661045531,0,0.915315866,0.262959599,3,1,0,0.277137347,0.802751124,0.321021229
2009_001240,7,car,car .,3,16276,0.086805333,0,0,2,0.91660362,0,0.955278397,0.895788431,0,0,0.886838214,0,0.930414915,0.895788431
2007_002643,7,car,car .,3,7907,0.042170667,0,0,2,0.945197044,0,0.98305583,0.780734479,0,0,0.929201341,0,0.937650323,0.780734479
2010_005501,7,car,car .,3,45912,0.244864,0.394596918,0,2,0.961872006,0.416896341,0.987029552,0.85724622,0,1,0.958275616,0.422424689,0.973185301,0.85724622
,,,,,,,0.32,,,0.7,,,,,,0.65,0.38,,
