image_id,class_ids,class_names,prompt,num_candidates,gt_area,gt_area_ratio,gt_score,sam_best_box_idx,sam_best_mask_idx,sam_best_gt_iou,sam_best_our_score,sam_best_sam_conf,sam_best_dino_logit,ours_best_box_idx,ours_best_mask_idx,ours_best_gt_iou,ours_best_our_score,ours_best_sam_conf,ours_best_dino_logit
2009_003589,7,car,car .,3,62496,0.333312,0.8254467735004472,0,2,0.9529321696524269,0.8552071937742474,0.9855791330337524,0.8269433975219727,0,1,0.9516259727552097,0.8609509916046485,0.9811581969261169,0.8269433975219727
2009_003549,7,car,car .,3,56092,0.39501408450704223,0.9230038153457725,0,2,0.9705138860031858,0.95521035104595,0.9868150949478149,0.8452296853065491,0,2,0.9705138860031858,0.95521035104595,0.9868150949478149,0.8452296853065491
2009_003387,7,car,car .,12,78313,0.41766933333333334,0.7468672168151491,3,2,0.0,0.0,0.945898711681366,0.25666114687919617,1,1,0.8340877106234073,0.7009222040705343,0.9259649515151978,0.4534652829170227
2011_001110,7,car,car .,51,33084,0.19990332326283988,0.48395458997001817,1,2,0.653405239737129,0.5159149794904005,0.9888454079627991,0.7345250844955444,1,1,0.6509718842534229,0.520101507029771,0.9747479557991028,0.7345250844955444
2011_002592,7,car,car .,3,84242,0.44929066666666667,0.896619344395159,0,2,0.9392910210146466,0.9220322408567276,0.9876759052276611,0.8785656690597534,0,1,0.934369238287758,0.9253173515049964,0.9862297773361206,0.8785656690597534
2008_002212,7,car,car .,3,53549,0.2848351063829787,0.5484812892574461,0,2,0.9594153207615267,0.5814913142330209,0.968393862247467,0.8262068629264832,0,1,0.8925868377524936,0.6020864943737421,0.910691499710083,0.8262068629264832
2010_002929,7,car,car .,12,64812,0.39761963190184046,0.7832165550740983,1,2,0.877776497363948,0.7691546014444794,0.9757083654403687,0.4129773676395416,1,2,0.877776497363948,0.7691546014444794,0.9757083654403687,0.4129773676395416
2009_000523,7,car,car .,3,77514,0.413408,0.8484103501176168,0,2,0.9488964726982861,0.8448208438619447,0.9812291860580444,0.8552796840667725,0,2,0.9488964726982861,0.8448208438619447,0.9812291860580444,0.8552796840667725
2010_000372,7,car,car .,12,49719,0.35521690672153633,0.6842908519237102,0,2,0.8861105607291461,0.7380626152526351,0.9842921495437622,0.7422531247138977,0,1,0.8867808815383398,0.7393776573878084,0.9798402190208435,0.7422531247138977
2009_001255,7,car,car .,3,43846,0.26255089820359284,0.3058027866670747,0,2,0.8455754261394959,0.2996182272555605,0.9325065612792969,0.8001703023910522,0,2,0.8455754261394959,0.2996182272555605,0.9325065612792969,0.8001703023910522
2010_000160,7,car,car .,15,127023,0.677456,0.9057682397449528,1,2,0.06882117574638351,0.0,0.9661815166473389,0.2878916263580322,0,2,0.8622549644778202,0.9172040273431689,0.9537920951843262,0.6889939904212952
2007_009096,7,car,car .,3,22227,0.3106412119856887,0.6694980652650057,0,2,0.943114703139571,0.6626062049872584,0.9811702370643616,0.6184314489364624,0,1,0.9442174453721798,0.6675433060122116,0.9794902205467224,0.6184314489364624
2010_003813,7,car,car .,3,58593,0.312496,0.7588149090021741,0,2,0.9662159889684862,0.7566291165829105,0.9905282258987427,0.7489527463912964,0,1,0.9690607363611933,0.7603151529705976,0.9897197484970093,0.7489527463912964
2007_001321,7,car,car .,6,93184,0.5596636636636637,0.8132805638020596,1,2,0.9226182830229073,0.8355171982147422,0.9930413961410522,0.35014379024505615,1,1,0.9259338404991879,0.8469770886817203,0.9927167296409607,0.35014379024505615
2010_004946,7,car,car .,3,56286,0.300192,0.7810608078388533,0,2,0.9462029084105791,0.7968760328455626,0.953485369682312,0.8243736028671265,0,0,0.8453279266572638,0.8335428950771329,0.9264810681343079,0.8243736028671265
2010_003381,7,car,car .,3,102191,0.5976081871345029,0.8124875021444925,0,1,0.8524788391777509,0.8106590941720095,0.991219699382782,0.9051397442817688,0,2,0.8293909103923336,0.8216884717728345,0.9876047372817993,0.9051397442817688
2011_002322,7,car,car .,3,31306,0.16696533333333333,0.4494957861431203,0,1,0.9670533642691416,0.4477445514479236,0.9771356582641602,0.8293827176094055,0,1,0.9670533642691416,0.4477445514479236,0.9771356582641602,0.8293827176094055
2009_002990,7,car,car .,3,51645,0.3083283582089552,0.8351943341364452,0,2,0.9631718522391962,0.8690886004655838,0.9889792203903198,0.9032416939735413,0,1,0.9585686682520809,0.8757515857865583,0.9887003302574158,0.9032416939735413
2010_002988,7,car,car .,12,34110,0.18192,0.6356731288317056,0,2,0.5900242961269115,0.6492200950007966,0.9805859923362732,0.7173973917961121,0,1,0.588823948681397,0.6520873860798205,0.9753426313400269,0.7173973917961121
2008_003846,7,car,car .,6,58647,0.312784,0.7905010347960224,0,2,0.9835780297014648,0.7857209145684323,0.9824204444885254,0.7041414976119995,0,1,0.984103680453602,0.789416128225293,0.9807312488555908,0.7041414976119995
2007_006277,7,car,car .,3,58017,0.309424,0.8439897819799004,0,1,0.9744722966401037,0.8511568950274624,0.9837580323219299,0.9108403325080872,0,1,0.9744722966401037,0.8511568950274624,0.9837580323219299,0.9108403325080872
2009_002618,7,car,car .,3,28899,0.17356756756756755,0.4737449982424467,0,2,0.9782889372111987,0.47859716161117954,0.99024498462677,0.9161169528961182,0,2,0.9782889372111987,0.47859716161117954,0.99024498462677,0.9161169528961182
2007_003917,7,car,car .,6,60096,0.320512,0.6899094257689269,0,2,0.9808501162848235,0.67765363304401,0.9886044263839722,0.8627166152000427,0,1,0.9834222310022389,0.6848001213511952,0.9865411520004272,0.8627166152000427
2008_006986,7,car,car .,3,48986,0.26125866666666664,0.8298831737910448,0,2,0.9504687253820703,0.8414798152122729,0.9778477549552917,0.9310843348503113,0,1,0.9521755328535854,0.8462315995960413,0.9731622338294983,0.9310843348503113
2010_002902,7,car,car .,6,69623,0.41690419161676645,0.9220255374939907,0,1,0.895647392242291,0.9773042196068367,0.983793318271637,0.8152772784233093,0,1,0.895647392242291,0.9773042196068367,0.983793318271637,0.8152772784233093
2009_001536,7,car,car .,3,34519,0.18410133333333334,0.6390914833275405,0,2,0.9127192747170216,0.7233607264236973,0.9600470662117004,0.5203611850738525,0,1,0.9077258351715524,0.726535193410853,0.9543142914772034,0.5203611850738525
2010_005501,7,car,car .,3,45912,0.244864,0.3945969182077185,0,2,0.9618720064144494,0.41689634147503674,0.9870295524597168,0.8572462201118469,0,1,0.9582756160013433,0.4224246893283134,0.9731853008270264,0.8572462201118469
2008_004069,7,car,car .,3,76612,0.44412753623188406,1.0228819599595216,0,1,0.9296806216585216,1.0257469005467725,0.9718046188354492,0.8824998140335083,0,1,0.9296806216585216,1.0257469005467725,0.9718046188354492,0.8824998140335083
2007_003143,7,car,car .,3,55571,0.3806232876712329,0.8292523131100744,0,2,0.9656708502739968,0.9136491930604513,0.9859117865562439,0.8731905221939087,0,1,0.9639097214886799,0.919963693359968,0.9841477870941162,0.8731905221939087
2011_000900,7,car,car .,27,98895,0.5331266846361186,0.7092956688028267,0,2,0.4936982712422841,0.767918062704068,0.9807268381118774,0.7510637640953064,0,1,0.49213965590589354,0.772682230339062,0.9764655828475952,0.7510637640953064
