image_id,class_ids,class_names,prompt,num_candidates,gt_area,gt_area_ratio,gt_score,sam_best_box_idx,sam_best_mask_idx,sam_best_gt_iou,sam_best_our_score,sam_best_sam_conf,sam_best_dino_logit,ours_best_box_idx,ours_best_mask_idx,ours_best_gt_iou,ours_best_our_score,ours_best_sam_conf,ours_best_dino_logit
2010_000814,3,bird,bird .,9,88734,0.473248,0.5637863056142141,2,2,0.6013398660133986,0.4790998092806015,0.9844298362731934,0.47916775941848755,1,2,0.5081269565411138,0.5449202667857043,0.9338890314102173,0.2623997628688812
2009_001565,3,bird,bird .,3,30481,0.18306906906906906,0.7541103933234299,0,1,0.9360521011009458,0.7778840987296389,0.946122407913208,0.9529187083244324,0,1,0.9360521011009458,0.7778840987296389,0.946122407913208,0.9529187083244324
2007_009817,3,bird,bird .,3,32059,0.17098133333333335,0.5640982599482725,0,2,0.9363809410505026,0.5681171254659616,0.9741594791412354,0.8623841404914856,0,1,0.9427527405602923,0.574215808520104,0.9629120826721191,0.8623841404914856
2008_002429,3,bird,bird .,3,44820,0.18293877551020407,0.6500775841700789,0,2,0.9167058823529411,0.6867985033597673,0.9834842085838318,0.9547076225280762,0,1,0.9162559561545226,0.6870806353792316,0.9773191809654236,0.9547076225280762
2010_004559,3,bird,bird .,3,43049,0.22959466666666667,0.5860928104496628,0,2,0.923839343554308,0.592466378121162,0.9801591634750366,0.9311624765396118,0,0,0.9136838306606221,0.6231297077659049,0.9637291431427002,0.9311624765396118
2010_000372,7,car,car .,12,49719,0.35521690672153633,0.6842908519237102,0,2,0.8861105607291461,0.7380626152526351,0.9842921495437622,0.7422531247138977,0,1,0.8867808815383398,0.7393776573878084,0.9798402190208435,0.7422531247138977
2009_003406,7,car,car .,3,44207,0.3102245614035088,0.7532903486195797,0,1,0.9603902311837302,0.7757403111831378,0.9912019968032837,0.9238158464431763,0,1,0.9603902311837302,0.7757403111831378,0.9912019968032837,0.9238158464431763
2008_004552,7,car,car .,6,35571,0.189712,0.4320822001442015,0,2,0.9684930750979418,0.42872888841774753,0.977512538433075,0.8618014454841614,0,1,0.9713460745222054,0.4300948199779998,0.9620087146759033,0.8618014454841614
2008_007804,7,car,car .,27,42177,0.23302209944751381,0.4393938731915666,0,2,0.8853023103391775,0.4306210554777886,0.9904580116271973,0.637951672077179,0,1,0.8858795810296966,0.4541984599159328,0.9897331595420837,0.637951672077179
2010_003453,7,car,car .,6,89840,0.5562848297213623,0.8443720981726146,1,2,0.08941480777308602,0.0,0.9846012592315674,0.5148960947990417,0,1,0.879834732196937,0.9111810587100762,0.9740427136421204,0.8193789720535278
2010_002025,8,cat,cat .,6,75322,0.4017173333333333,0.7224588485348148,1,2,0.6014370690108964,0.5279127933143206,0.9776533842086792,0.6980388164520264,0,2,0.32550768097643096,0.6464283480832514,0.9676209688186646,0.7024534940719604
2010_000163,8,cat,cat .,3,68519,0.379606648199446,0.7348634811225065,0,2,0.9511740485199198,0.7586126606280802,0.9830945134162903,0.9415311813354492,0,1,0.9466627926282584,0.7628278845450494,0.9797093868255615,0.9415311813354492
2008_003499,8,cat,cat .,3,71557,0.38163733333333333,0.758536186418899,0,1,0.9565554589824162,0.8149388906465949,0.973257303237915,0.7898170948028564,0,1,0.9565554589824162,0.8149388906465949,0.973257303237915,0.7898170948028564
2008_006480,8,cat,cat .,3,77632,0.4913417721518987,0.7252209984318005,0,1,0.9532916015889218,0.7357360608391519,0.9806118607521057,0.932634174823761,0,1,0.9532916015889218,0.7357360608391519,0.9806118607521057,0.932634174823761
2010_004861,8,cat,cat .,3,45899,0.27566966966966966,0.6410507515416926,0,2,0.9549981249218717,0.641544881504964,0.9815043807029724,0.9416048526763916,0,0,0.9026946426669507,0.6907605674518924,0.9463917016983032,0.9416048526763916
2010_000904,12,dog,dog .,3,126812,0.63406,0.7849681982581929,0,2,0.9020633559623357,0.792095381934663,0.9600856304168701,0.9324089288711548,0,2,0.9020633559623357,0.792095381934663,0.9600856304168701,0.9324089288711548
2009_003756,12,dog,dog .,3,76317,0.407024,0.598434011143322,0,2,0.9739174310739653,0.6743091892481322,0.9788974523544312,0.916405200958252,0,1,0.9711489252814739,0.696348384998865,0.9787638187408447,0.916405200958252
2008_002859,12,dog,dog .,3,51851,0.27653866666666665,0.5598085434188421,0,2,0.9525210396961347,0.604107717978217,0.968323290348053,0.9449242949485779,0,1,0.8068818351560416,0.6896925507581672,0.9339089393615723,0.9449242949485779
2008_003238,12,dog,dog .,3,63529,0.3388213333333333,0.6632887612536458,0,2,0.9733562790983543,0.6829122663195206,0.9862529635429382,0.9429057240486145,0,2,0.9733562790983543,0.6829122663195206,0.9862529635429382,0.9429057240486145
2010_005644,12,dog,dog .,6,63895,0.3826047904191617,0.7992090138017118,1,2,0.9555097457040445,0.8504286737187946,0.9781134128570557,0.3813960552215576,1,1,0.9611729235854977,0.8690895054858485,0.9725844264030457,0.3813960552215576
2009_002185,15,person,person .,3,99949,0.6386517571884984,0.6931791184763536,0,1,0.9768706950532248,0.6965441019659699,0.9892395734786987,0.6870071887969971,0,1,0.9768706950532248,0.6965441019659699,0.9892395734786987,0.6870071887969971
2008_004101,15,person,person .,6,65967,0.351824,0.539003676275215,0,2,0.6719225734331563,0.44964469987579736,0.9705268144607544,0.8906257748603821,1,2,0.2350512775942986,0.5849856550949649,0.9214237928390503,0.8321366310119629
2007_009413,15,person,person .,6,85799,0.343196,0.5695487677930745,1,2,0.3321996912469676,0.5318481640625125,0.9818282723426819,0.7386700510978699,1,2,0.3321996912469676,0.5318481640625125,0.9818282723426819,0.7386700510978699
2008_000215,15,person,person .,12,85506,0.456032,0.5296469374567743,2,2,0.3512644962973313,0.44646729695161,0.9878278970718384,0.8389003872871399,0,1,0.3413821525173843,0.579481034140134,0.9743404984474182,0.8573520183563232
2011_000054,15,person,person .,15,72976,0.38920533333333335,0.5424362305635201,1,2,0.3861659011078087,0.21913130723896984,0.9857410192489624,0.8445203304290771,0,2,0.34599778679454074,0.4950983855430127,0.9673654437065125,0.7771384716033936
