class,n_components,size_p10,size_p25,size_p50,size_p75,size_p90,conc_p10,conc_p25,conc_p50,conc_p75,conc_p90,dc_p10,dc_p25,dc_p50,dc_p75,dc_p90
person,2414,0.00034040000000000003,0.0014235675675675675,0.010731263932702418,0.0692712912912913,0.17857546666666707,0.0,0.056973786921159314,0.18256315806299933,0.2979203148293781,0.4074900829091163,0.10757347132818593,0.1724192627744235,0.26955548321990747,0.3924230598609022,0.4772659386556635
chair,1031,0.00019733333333333332,0.000552,0.0035255255255255257,0.01906657994893289,0.064272,0.0,0.0,0.19154764234005084,0.46872857284173935,0.6580345285524569,0.12850434822734697,0.21543794035547922,0.345189508108614,0.4531402019974323,0.510045609846999
pottedplant,958,0.00013866666666666666,0.0002240897435897436,0.0007573333333333334,0.005969907407407407,0.02599958198198202,0.0,0.0,0.11562579686084301,0.35254372019077895,0.5539326654521017,0.1526615243048421,0.2376397080544218,0.336515413394207,0.43926854381158403,0.5072201719079787
bicycle,721,0.00014933333333333332,0.0002613333333333333,0.0007447447447447447,0.004372239747634069,0.028481927710843374,0.0,0.0,0.3988439306358381,0.6993355481727574,0.8129032258064516,0.10259987782466716,0.16800672346993564,0.2629332854566943,0.36605083936587646,0.4653464776750981
car,628,0.000375936231884058,0.001151433155080214,0.005561441441441441,0.04984323219814241,0.24981440000000016,0.0,0.0,0.056863509241665666,0.12726049109249116,0.21788641725833016,0.07851721063669631,0.16721157062582537,0.3000601287886923,0.4319035625384633,0.4971888167372317
sheep,526,0.0002666666666666667,0.000864,0.006718279777103307,0.03689732551319648,0.13662666666666667,0.0,0.0,0.11545434860761877,0.2528041002395565,0.36577363194670554,0.09262464078811024,0.1598607163959597,0.26421533412046067,0.39223917652558005,0.47685008560954456
cow,490,0.00024016831202459946,0.000817945945945946,0.006288,0.058767601903677705,0.18554409963369967,0.0,0.0,0.14740789152410383,0.2935846100013457,0.37934745575150597,0.07761491125338847,0.1618941130215479,0.26265653165587055,0.39253820931447997,0.4829477992062851
horse,479,0.00028916753999008884,0.001032,0.00672289156626506,0.06501264880952382,0.18367456925418568,0.0,0.0,0.16202247191011232,0.35086508461600613,0.48044376775734704,0.07276073782421152,0.14890784634814208,0.2536684292898623,0.3600507584093699,0.4639685348798737
bird,467,0.0002538666666666667,0.0010026666666666667,0.008943589743589744,0.06299012846517918,0.14702770954535674,0.0,0.013642483411857698,0.1729924870719095,0.3385241310898729,0.47587909006778906,0.05023252330040659,0.10379448119165091,0.18688289940279842,0.2901751528257831,0.394998234618875
boat,409,0.00016334152334152334,0.00036417910447761196,0.004341317365269461,0.041189333333333335,0.13248731824747229,0.0,0.0,0.14843152257077274,0.33333333333333337,0.5422991079268907,0.07760590290219092,0.13698814833954678,0.26091146628680656,0.39403990575939346,0.5078401659922666
dog,399,0.00031360000000000003,0.005975930750027135,0.06567724867724868,0.2051632255489022,0.3602702178465155,0.0,0.08469487249510493,0.18559556786703602,0.3161718585860909,0.4060485457194308,0.05192956020926209,0.10011327488443372,0.18076787186423068,0.29498614702204556,0.42873054554619794
bottle,393,0.0005815831831831831,0.0015573333333333333,0.006986666666666667,0.030671717171717173,0.17876978264840196,0.0,0.0,0.04957245204529692,0.10372492836676217,0.17251140913059956,0.08935337570328944,0.15427260690808747,0.27656418020385537,0.40656131178212623,0.48982656414479414
motorbike,389,0.00024426666666666673,0.0008329048843187661,0.014906666666666667,0.10376,0.2540356228228228,0.0,0.08763942636011834,0.23061351095438665,0.3353846153846154,0.4461657550000885,0.07101242307922696,0.14618266674064082,0.25632316511177583,0.3579091882375302,0.4621027881595915
cat,353,0.0012410810810810815,0.02818884120171674,0.14696533333333334,0.31659,0.4653041069175175,0.0389238421833863,0.10805096961426841,0.16887376989430203,0.2507515104616209,0.36237175930943305,0.05253172184539157,0.09893539750257029,0.1769105637778662,0.28972947581056846,0.4152577824450334
sofa,351,0.0007604790419161677,0.006964909370199692,0.051795795795795796,0.14836048048048048,0.274128,0.0,0.03294647567129344,0.11435230745325531,0.239314832227914,0.3583320833958302,0.12492301854334072,0.2394321610106293,0.34213118530567693,0.4546747118206542,0.5386563358202888
train,345,0.00024,0.001328,0.031267267267267265,0.223536,0.37480789909909934,0.0,0.0,0.042801010384507454,0.10769230769230764,0.19469741749292852,0.06250008235420665,0.10603759975531493,0.21358838919754045,0.3494582717009329,0.44338427795422697
aeroplane,340,0.0002042042042042042,0.0005928496377813416,0.014975815261044176,0.09990362762762763,0.18336275377173591,0.0,0.04082191780821923,0.3720705639804883,0.48204470866594623,0.6121863477061933,0.03745425764191418,0.0761321054698219,0.1553364943500583,0.28631197432206396,0.41475512566475575
diningtable,309,0.0002642642642642643,0.0009969969969969969,0.024608,0.15018666666666666,0.32292353134384383,0.0,0.0,0.025189306135064093,0.19999999999999996,0.4613045453988594,0.134422003677943,0.2497226043169798,0.33871552673236827,0.4492327681264815,0.5051578372783353
bus,305,0.0004331435158501442,0.0028683473389355743,0.055069486404833834,0.30365333333333333,0.46061013333333334,0.0,0.0,0.04402840542285347,0.0923383785052212,0.16104517807554822,0.03913834271728398,0.08865513309060367,0.23677296941350792,0.3688961778369027,0.4503240025350018
tvmonitor,223,0.002099575800711744,0.015602666666666666,0.04974174174174174,0.132803814889336,0.2692277333333336,0.0,0.0,0.017530190884300745,0.08240477687791575,0.14986074206885847,0.09844548774824727,0.18396666620655389,0.2881019898518979,0.37329640219960847,0.4546708309024043
